,,Name,Status,Date,Link,Coords
Abbeville,0,Carrière Carpentier,Classé,1983,https://fr.wikipedia.org/wiki/Carri%C3%A8re_Carpentier,"(50.106164, 1.848031)"
Abbeville,1,Carrière de Menchecourt,Classé,1983,https://fr.wikipedia.org/wiki/Carri%C3%A8re_de_Menchecourt,"(50.118391, 1.823725)"
Abbeville,2,Église Notre-Dame-de-la-Chapelle,Classé,1910,https://fr.wikipedia.org/wiki/%C3%89glise_Notre-Dame-de-la-Chapelle_d%27Abbeville,"(50.117192, 1.831911)"
Abbeville,3,Église Saint-Sépulcre,Classé,1907,https://fr.wikipedia.org/wiki/%C3%89glise_Saint-S%C3%A9pulcre_d%27Abbeville,"(50.10914, 1.83728)"
Abbeville,4,Église Saint-Vulfran,Classé,1840,https://fr.wikipedia.org/wiki/%C3%89glise_Saint-Vulfran_d%27Abbeville,"(50.10472, 1.83194)"
Abbeville,5,Manufacture des Rames,"Inscrit,Classé","1984,1986",https://fr.wikipedia.org/wiki/Manufacture_des_Rames,"(50.110166, 1.822223)"
Agen,0,Cathédrale Saint-Caprais,Classé,1862,https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Saint-Caprais_d%27Agen,"(44.2067, 0.6192)"
Agen,1,Croix de mission,Classé,1970,https://fr.wikipedia.org/wiki/Croix_de_mission_d%27Agen,"(44.2065, 0.6192)"
Agen,2,Église Notre-Dame des Jacobins,Classé,1904,https://fr.wikipedia.org/wiki/%C3%89glise_des_Jacobins_d%27Agen,"(44.203, 0.6133)"
Agen,3,Église Saint-Hilaire,"Classé,Inscrit,Inscrit","1920,1947,1988",https://fr.wikipedia.org/wiki/%C3%89glise_Saint-Hilaire_d%27Agen,"(44.2062, 0.6135)"
Agen,4,"Hôtel Hutot de Latour,Hôtel Saint-Martin",Classé,1954,https://fr.wikipedia.org/wiki/H%C3%B4tel_Hutot_de_Latour,"(44.2009, 0.613)"
Agen,5,Hôtel de Vaurs,Classé,1903,https://fr.wikipedia.org/wiki/H%C3%B4tel_de_Vaurs,"(44.203543, 0.616114)"
Agen,6,Maison du Sénéchal,Classé,1913,https://fr.wikipedia.org/wiki/Maison_du_S%C3%A9n%C3%A9chal_(Agen),"(44.2056, 0.617)"
Aire-sur-la-Lys,0,Bailliage,Classé,1886,https://fr.wikipedia.org/wiki/Bailliage_d%27Aire-sur-la-Lys,"(50.637981, 2.3957)"
Aire-sur-la-Lys,1,Collégiale Saint-Pierre,Classé,1862,https://fr.wikipedia.org/wiki/Coll%C3%A9giale_Saint-Pierre_d%27Aire-sur-la-Lys,"(50.639764, 2.400889)"
Aire-sur-la-Lys,2,Église Saint-Jacques-le-Majeur-et-Saint-Ignace,Classé,1942,https://fr.wikipedia.org/wiki/%C3%89glise_Saint-Jacques-le-Majeur-et-Saint-Ignace_d%27Aire-sur-la-Lys,"(50.633333, 2.383333)"
Aix-en-Provence,0,Aqueduc de Roquefavour,Classé,2005,https://fr.wikipedia.org/wiki/Aqueduc_de_Roquefavour,"(43.516667, 5.312778)"
Aix-en-Provence,1,Bastide Bel-Air,"Inscrit,Classé","1980,1980",https://fr.wikipedia.org/wiki/Bastide_Bel-Air,"(43.557952, 5.458214)"
Aix-en-Provence,2,Bastide du Jas de Bouffan,Classé,2001,https://fr.wikipedia.org/wiki/Bastide_du_Jas_de_Bouffan,"(43.527108, 5.42898)"
Aix-en-Provence,3,Bastide de la Mignarde,Classé,1995,https://fr.wikipedia.org/wiki/Quartier_des_Pinchinats,"(43.5663, 5.4758)"
Aix-en-Provence,4,Bastide de Repentance,"Classé,Inscrit","1984,1984",https://fr.wikipedia.org/wiki/Bastide_de_Repentance,"(43.5393, 5.4785)"
