Origin,Destination,Price
Dax,Douai,144.0
Irun,Lille-Flandres,144.0
Bayonne,Douai,144.0
Hendaye,Douai,144.0
Irun,Lille-Europe,144.0
Lille-Europe,Montpellier (CNM),144.0
Lille-Europe,Marseille-St-Charles,144.0
Nîmes,Lille-Europe,144.0
Modane,Quimper,147.0
Moûtiers-Salins-Brides-les-Bains,Quimper,147.0
Quimper,Sallanches-Combloux-Megève,147.0
Landry,Quimper,147.0
Quimper,Aix-les-Bains-Le Revard,147.0
Carcassonne,TGV Haute-Picardie,150.0
Lille-Flandres,Agde,150.0
Arras,Sète,150.0
Carcassonne,Arras,150.0
Arras,Toulouse-Matabiau,150.0
TGV Haute-Picardie,Agde,150.0
Perpignan,TGV Haute-Picardie,150.0
TGV Haute-Picardie,Sète,150.0
Avignon-TGV,Perpignan,48.0
Le Havre,Lyon-St-Exupéry-TGV,97.0
Lyon-St-Exupéry-TGV,St-Nazaire,109.0
Paris-Gare-de-Lyon,Toulon,121.0
Chambéry-Challes-les-Eaux,Paris-Gare-de-Lyon,103.0
Paris-Gare-de-Lyon,Montbéliard,88.0
Limoges-Bénédictins,Roissy-Aéroport-Charles-de-Gaulle 2-TGV (TGV),88.0
Les Aubrais-Orléans,Marne-la-Vallée-Chessy,44.0
Massy-TGV,TGV Haute-Picardie,45.0
Châteauroux,Roissy-Aéroport-Charles-de-Gaulle 2-TGV (TGV),69.0
La Souterraine,Marne-la-Vallée-Chessy,80.0
Chambéry-Challes-les-Eaux,Massy-TGV,103.0
Dole-Ville,Paris-Montparnasse,76.0
Massy-TGV,Aix-les-Bains-Le Revard,103.0
Roissy-Aéroport-Charles-de-Gaulle 2-TGV (TGV),Aix-les-Bains-Le Revard,103.0
Paris-Nord,Aix-les-Bains-Le Revard,103.0
Besançon-Viotte,Montbard,43.0
Montbard,Besançon-Franche-Comté-TGV,43.0
Paris-Gare-de-Lyon,Beaune,77.0
Dijon-Ville,Lille-Europe,111.0
Lille-Europe,Belfort-Montbéliard-TGV,129.0
Colmar,Mâcon-Ville,72.0
Colmar,Bourg-en-Bresse,70.0
Colmar,Valence-TGV,98.0
Belfort-Montbéliard-TGV,Chalon-sur-Saône,51.0
Chalon-sur-Saône,Narbonne,84.0
Dijon-Ville,Agde,101.0
Dijon-Ville,Aix-en-Provence-TGV,91.0
Dijon-Ville,Antibes,124.0
Mâcon-Ville,Antibes,107.0
Nice-Ville,Chalon-sur-Saône,116.0
Mâcon-Ville,Toulon,81.0
Dijon-Ville,Valence-TGV,63.0
Besançon-Viotte,Belfort-Montbéliard-TGV,25.5
Belfort-Montbéliard-TGV,Lons-le-Saunier,42.0
Marseille-St-Charles,Lons-le-Saunier,89.0
Belfort-Montbéliard-TGV,Bourg-en-Bresse,51.0
Belfort-Montbéliard-TGV,Valence-TGV,83.0
Besançon-Viotte,Valence-TGV,73.0
Besançon-Viotte,Lyon-Part-Dieu,51.0
Nancy-Ville,Montpellier (CNM),117.0
Avignon-TGV,Nancy-Ville,107.0
Toul,Antibes,135.0
Metz-Ville,Nice-Ville,143.0
Besançon-Viotte,Lille-Europe,120.0
Nancy-Ville,Lille-Europe,102.0
Nancy-Ville,Roissy-Aéroport-Charles-de-Gaulle 2-TGV (TGV),77.0
Laval,Annemasse,120.0
