service_id,date,exception_type
230,20181225,2
235,20190101,1
234,20181225,1
14197,20181225,1
265,20190101,1
263,20181225,1
243,20190101,1
241,20181225,2
298,20190122,2
298,20190123,2
298,20190124,2
298,20190125,2
182,20181201,1
192,20181202,1
632,20181105,1
34,20181225,2
34,20190101,2
57,20181225,2
57,20190101,2
44,20181225,1
44,20190101,1
71,20181225,1
71,20190101,1
362,20190120,1
361,20190119,1
413,20181107,1
450,20181224,2
450,20181225,2
450,20181231,2
450,20190101,2
425,20181224,2
425,20181225,2
425,20181231,2
425,20190101,2
767,20181224,1
767,20181225,1
767,20181231,1
767,20190101,1
769,20181224,2
769,20181225,2
769,20181231,2
769,20190101,2
721,20181128,1
738,20181224,1
738,20181225,1
738,20181231,1
738,20190101,1
480,20181226,1
480,20190102,1
480,20181224,2
480,20181231,2
727,20181224,2
727,20181225,2
727,20181231,2
727,20190101,2
728,20181224,2
728,20181225,2
728,20181226,2
728,20181227,2
728,20181228,2
728,20181231,2
728,20190101,2
728,20190102,2
728,20190103,2
728,20190104,2
832,20181224,2
832,20181231,2
37,20181225,1
37,20190101,1
821,20181225,1
821,20190101,1
824,20181224,2
824,20181225,2
824,20181231,2
824,20190101,2
486,20181226,2
486,20190102,2
839,20190102,1
839,20181231,2
839,20190101,2
839,20181224,2
839,20181225,2
778,20181117,1
942,20181210,1
942,20181211,1
942,20181212,1
942,20181213,1
942,20181214,1
836,20181224,1
836,20181225,1
836,20181231,1
836,20190101,1
835,20181223,2
835,20181230,2
831,20181224,1
831,20181225,1
831,20181231,1
831,20190101,1
822,20181224,2
822,20181225,2
822,20181226,2
822,20181231,2
822,20190101,2
822,20190102,2
833,20181224,1
833,20181225,1
833,20181231,1
833,20190101,1
825,20181224,2
825,20181225,2
825,20181226,2
825,20181227,2
825,20181228,2
825,20181231,2
825,20190101,2
825,20190102,2
825,20190103,2
825,20190104,2
830,20181224,2
830,20181225,2
830,20181227,2
830,20181228,2
830,20181231,2
830,20190101,2
830,20190103,2
830,20190104,2
428,20181224,1
428,20181225,1
428,20181231,1
428,20190101,1
83,20181225,2
83,20181226,2
83,20190101,2
83,20190102,2
1747,20181209,1
1022,20181118,1
1264,20181126,1
1264,20181127,1
1264,20181128,1
1264,20181129,1
1264,20181130,1
1264,20181203,1
1264,20181204,1
1264,20181205,1
1264,20181206,1
1264,20181207,1
1332,20181110,1
434,20181224,1
434,20181231,1
974,20181130,1
441,20181224,2
441,20181231,2
1288,20181224,2
1288,20181225,2
1288,20181231,2
1288,20190101,2
1353,20181226,1
1353,20190102,1
1353,20181224,2
1353,20181231,2
1354,20181225,2
1354,20181226,2
1354,20190101,2
1354,20190102,2
1355,20181224,1
1355,20181231,1
866,20181224,2
866,20181231,2
863,20181228,2
863,20190104,2
1358,20181230,2
1358,20190106,2
1445,20181109,1
1450,20181110,2
726,20181105,1
726,20181106,1
726,20181107,1
726,20181108,1
726,20181109,1
726,20181203,1
726,20181204,1
726,20181205,1
726,20181206,1
726,20181207,1
1434,20181224,2
1434,20181231,2
1404,20181225,2
1404,20190101,2
1431,20181225,1
1431,20190101,1
36,20181226,1
36,20190102,1
1444,20181225,2
1444,20190101,2
1437,20181228,2
1437,20190104,2
1438,20181224,2
1438,20181225,2
1438,20181226,2
1438,20181227,2
1438,20181231,2
1438,20190101,2
1438,20190102,2
1438,20190103,2
1439,20181226,2
1439,20190102,2
1440,20181210,1
1440,20181211,1
1440,20181212,1
1440,20181213,1
1440,20181214,1
1440,20181215,1
1440,20181217,1
1440,20181218,1
1440,20181219,1
1440,20181220,1
1440,20181221,1
1440,20181222,2
1441,20181224,2
1441,20181225,2
1441,20181227,2
1441,20181231,2
1441,20190101,2
1441,20190103,2
1442,20181223,2
1442,20181230,2
1545,20181224,1
1545,20181231,1
1476,20181224,1
1476,20181225,1
1476,20181226,1
1476,20181227,1
1476,20181231,1
1476,20190101,1
1476,20190102,1
1476,20190103,1
1480,20181224,1
1480,20181225,1
1480,20181226,1
1480,20181227,1
1480,20181231,1
1480,20190101,1
1480,20190102,1
1480,20190103,1
1475,20181224,1
1475,20181226,1
1475,20181227,1
1475,20181231,1
1475,20190102,1
1475,20190103,1
1448,20181225,1
1448,20190101,1
770,20181225,2
770,20181226,2
770,20190101,2
770,20190102,2
1477,20181224,1
1477,20181225,1
1477,20181226,1
1477,20181227,1
1477,20181228,1
1477,20181231,1
1477,20190101,1
1477,20190102,1
1477,20190103,1
1477,20190104,1
14199,20181222,1
14199,20181224,1
14199,20181225,1
14199,20181226,1
14199,20181227,1
14199,20181229,1
14199,20181231,1
14199,20190101,1
14199,20190102,1
14199,20190103,1
14199,20190105,1
7653,20181222,1
7653,20181224,1
7653,20181225,1
7653,20181226,1
7653,20181227,1
7653,20181229,1
7653,20181231,1
7653,20190101,1
7653,20190102,1
7653,20190103,1
7653,20190105,1
1744,20181225,2
1744,20190101,2
1750,20181225,1
1750,20190101,1
1736,20181224,2
1736,20181225,2
1736,20181226,2
1736,20181227,2
1736,20181228,2
1736,20181231,2
1736,20190101,2
1736,20190102,2
1736,20190103,2
1736,20190104,2
1640,20181225,1
1640,20190101,1
1466,20181225,2
1466,20190101,2
5779,20181228,1
5779,20190104,1
5778,20181214,1
5778,20181221,1
5777,20190106,1
694,20181208,1
1049,20190108,1
1049,20181224,1
1049,20181226,1
1049,20181227,1
1049,20181228,1
1049,20181231,1
1049,20190102,1
1049,20190103,1
1049,20190104,1
1049,20190107,1
1049,20190109,1
1049,20190110,1
1049,20190111,1
