Origin,Destination,Price
Lyon-Part-Dieu,Lyon-Perrache-Voyageurs,1.0
Les Aubrais-Orléans,Orléans,1.2
St-Pierre-des-Corps,Tours,1.4
Clermont-Ferrand,Clermont-La Pardieu,1.4
Collioure,Port-Vendres-Ville,1.5
Longueau,Amiens,1.8
Beaumont-le-Roger,Serquigny,2.0
Brassac-les-Mines-Ste-Florine,Arvant,2.0
Condat-le-Lardin,Terrasson-Lavilledieu,2.0
Fourchambault,Nevers,2.0
Pougues-les-Eaux,Fourchambault,2.2
Chauny,Tergnier,2.2
Banyuls-sur-Mer,Port-Vendres-Ville,2.2
Argelès-sur-Mer,Collioure,2.2
St-Georges-d'Aurac,Langeac,2.4
Surdon,Sées,2.6
Tracy-Sancerre,Pouilly-sur-Loire,2.6
Bréval,Bueil,2.6
Biarritz,Bayonne,2.8
La Rochelle-Ville,Châtelaillon,2.8
Noyelles,Rue,2.8
Busigny,Caudry,2.8
Cosne,Tracy-Sancerre,2.8
Banyuls-sur-Mer,Cerbère,2.8
Arvant,Brioude,2.8
Gien,Briare,2.8
Rang-du-Fliers-Verton,Étaples-Le Touquet,3.0
Langres,Culmont-Chalindrey,3.0
Creil,Pont-Ste-Maxence,3.0
Périgueux,Niversac,3.0
Nevers,Saincaize,3.0
Aulnoye-Aymeries,Maubeuge,3.2
Pont-l'Évêque,Trouville-Deauville,3.2
Vernon-Giverny,Gaillon-Aubevoye,3.3
Pougues-les-Eaux,Nevers,3.3
Grand'Combe-La Pise,Alès,3.3
Argelès-sur-Mer,Port-Vendres-Ville,3.3
Hendaye,St-Jean-de-Luz-Ciboure,3.3
Abbeville,Noyelles,3.3
St-Jean-de-Luz-Ciboure,Biarritz,3.3
Villefort,Génolhac,3.3
Argelès-sur-Mer,Elne,3.3
La Charité,Pougues-les-Eaux,3.3
Pouilly-sur-Loire,La Charité,3.3
Meymac,Ussel,3.3
Banyuls-sur-Mer,Collioure,3.3
Clermont-Ferrand,Riom-Châtel-Guyon,3.5
Oissel,Rouen-Rive-Droite,3.5
Villedieu-les-Poêles,Folligny,3.7
Clermont-de-l'Oise,St-Just-en-Chaussée,3.7
Argentan,Surdon,3.7
Val-de-Reuil,Oissel,3.7
Folligny,Granville,3.7
Creil,Clermont-de-l'Oise,3.7
St-Germain-des-Fossés,Vichy,3.8
Cannes,Antibes,3.8
Caudry,Cambrai,3.9
Noyon,Chauny,3.9
Libourne,Coutras,3.9
Montpon-Ménestérol,Mussidan,3.9
Brassac-les-Mines-Ste-Florine,Brioude,3.9
St-Florent-sur-Cher,Châteauneuf-sur-Cher,4.0
Montargis,Nogent-sur-Vernisson,4.0
Briouze,Flers,4.0
Tulle,Corrèze,4.0
St-Astier,Périgueux,4.0
Montendre,St-Mariens-St-Yzan,4.0
Pau,Coarraze-Nay,4.0
Rue,Rang-du-Fliers-Verton,4.0
Conches,Beaumont-le-Roger,4.2
St-Mariens-St-Yzan,St-André-de-Cubzac,4.2
Égletons,Meymac,4.2
Lison,Carentan,4.2
Lisieux,Pont-l'Évêque,4.2
Évreux-Embranchement,Conches,4.2
Corrèze,Égletons,4.2
Argelès-sur-Mer,Banyuls-sur-Mer,4.3
Elne,Perpignan,4.3
Cerbère,Port-Vendres-Ville,4.3
Châtelaillon,Rochefort,4.4
Cosne,Pouilly-sur-Loire,4.4
Issoire,Brassac-les-Mines-Ste-Florine,4.4
Langogne,La Bastide-St-Laurent-les-Bains,4.4
Nogent-sur-Vernisson,Gien,4.4
Gaillon-Aubevoye,Val-de-Reuil,4.4
Mussidan,St-Astier,4.4
Terrasson-Lavilledieu,Brive-la-Gaillarde,4.6
Génolhac,Grand'Combe-La Pise,4.6
La Charité,Fourchambault,4.6
Bourges,St-Florent-sur-Cher,4.6
Sées,Alençon,4.6
La Bastide-St-Laurent-les-Bains,Villefort,4.6
Pons,Jonzac,4.6
Nogent-sur-Seine,Romilly-sur-Seine,4.6
Vendeuvre-Jort,Bar-sur-Aube,4.8
Clermont-Ferrand,Riom-Châtel-Guyon,4.8
Cerbère,Collioure,4.8
Elne,Collioure,4.8
Le Mans,Écommoy,4.8
Lourdes,Tarbes,4.8
Tracy-Sancerre,La Charité,5.1
Coarraze-Nay,Lourdes,5.1
Mantes-la-Jolie,Vernon-Giverny,5.1
Châteauneuf-sur-Cher,St-Amand-Montrond-Orval,5.1
Amboise,St-Pierre-des-Corps,5.1
Jonzac,Montendre,5.1
Longueville,Nogent-sur-Seine,5.1
Pont-Ste-Maxence,Compiègne,5.1
Salbris,Vierzon-Ville,5.1
Saintes,Pons,5.3
St-André-de-Cubzac,Bordeaux-St-Jean,5.3
Vallon,Montluçon-Ville,5.3
St-Jean-de-Luz-Ciboure,Bayonne,5.3
Caen,Mézidon,5.3
Allassac,Brive-la-Gaillarde,5.3
Noyon,Tergnier,5.3
Elne,Port-Vendres-Ville,5.3
Abbeville,Rue,5.3
Tergnier,St-Quentin,5.3
Brioude,St-Georges-d'Aurac,5.5
Mantes-la-Jolie,Bueil,5.5
Conches,Serquigny,5.5
Compiègne,Noyon,5.5
Arvant,Massiac,5.5
Verneuil-sur-Avre,L'Aigle,5.5
Coutras,Montpon-Ménestérol,5.5
Argentan,Sées,5.5
Bréauté-Beuzeville,Le Havre,5.7
Amboise,Tours,5.7
Issoire,Arvant,5.7
Yvetot,Bréauté-Beuzeville,5.7
Sarrebourg,Saverne,5.9
La Charité,Nevers,5.9
Brive-la-Gaillarde,Tulle,5.9
Pouilly-sur-Loire,Pougues-les-Eaux,5.9
Hendaye,Biarritz,5.9
Vire,Villedieu-les-Poêles,5.9
Busigny,Cambrai,5.9
Condat-le-Lardin,Brive-la-Gaillarde,5.9
St-Sébastien,La Souterraine,6.0
Nice-Ville,Antibes,6.0
Argelès-sur-Mer,Cerbère,6.0
Noyelles,Rang-du-Fliers-Verton,6.1
Bayeux,Lison,6.1
Bueil,Évreux-Embranchement,6.1
Étaples-Le Touquet,Boulogne-Tintelleries,6.1
Le Cateau,Aulnoye-Aymeries,6.1
St-Quentin,Busigny,6.1
St-Amand-Montrond-Orval,Vallon,6.1
Rue,Étaples-Le Touquet,6.4
Écommoy,Château-du-Loir,6.4
St-Astier,Niversac,6.4
Argentan,Briouze,6.4
Valognes,Cherbourg,6.4
Nogent-sur-Vernisson,Briare,6.6
Val-de-Reuil,Rouen-Rive-Droite,6.6
Surdon,Alençon,6.6
Carentan,Valognes,6.6
Flers,Vire,6.6
La Rochelle-Ville,Rochefort,6.6
Villedieu-les-Poêles,Granville,6.8
Vesoul,Lure,6.8
Caen,Bayeux,6.8
Lisieux,Trouville-Deauville,6.8
Creil,St-Just-en-Chaussée,6.8
Chauny,St-Quentin,6.8
Égletons,Ussel,7.0
Uzerche,Allassac,7.0
Briare,Cosne,7.0
Elne,Banyuls-sur-Mer,7.0
Caussade,Montauban-Ville-Bourbon,7.0
Gourdon,Souillac,7.0
Salbris,Vierzon-Ville,7.0
Argelès-sur-Mer,Perpignan,7.0
Bernay,Lisieux,7.0
Vernon-Giverny,Val-de-Reuil,7.2
Lure,Belfort,7.2
Nemours-St-Pierre,Montargis,7.2
Blois,Amboise,7.2
Brioude,Langeac,7.2
Cosne,La Charité,7.2
Vierzon-Ville,Bourges,7.2
Peyrehorade,Orthez,7.2
La Bastide-St-Laurent-les-Bains,Génolhac,7.4
Génolhac,Alès,7.4
Clermont-La Pardieu,Issoire,7.4
Villefort,Grand'Combe-La Pise,7.4
Nancy-Ville,Lunéville,7.4
Creil,Compiègne,7.4
Pouilly-sur-Loire,Fourchambault,7.4
Peyrehorade,Bayonne,7.4
Gaillon-Aubevoye,Oissel,7.5
Troyes,Vendeuvre-Jort,7.5
Chaumont,Langres,7.5
Arvant,St-Georges-d'Aurac,7.5
Montendre,St-André-de-Cubzac,7.7
Issoire,Brioude,7.7
Tracy-Sancerre,Pougues-les-Eaux,7.7
Tulle,Égletons,7.7
Montpon-Ménestérol,St-Astier,7.7
Mantes-la-Jolie,Gaillon-Aubevoye,7.7
Dreux,Verneuil-sur-Avre,7.9
Mussidan,Périgueux,7.9
Bréval,Évreux-Embranchement,7.9
La Roche-sur-Yon,Luçon,7.9
Montargis,Gien,7.9
Romilly-sur-Seine,Troyes,7.9
Hendaye,Bayonne,7.9
St-Quentin,Le Cateau,7.9
Corrèze,Meymac,7.9
Clermont-Ferrand,Issoire,7.9
Busigny,Aulnoye-Aymeries,7.9
Périgueux,Thiviers,8.0
Bordeaux-St-Jean,Libourne,8.0
Tarbes,Lannemezan,8.0
Bourges,Châteauneuf-sur-Cher,8.0
Niversac,Condat-le-Lardin,8.0
St-Quentin,Caudry,8.0
Les Arcs-Draguignan,St-Raphaël-Valescure,8.1
Perpignan,Collioure,8.1
La Souterraine,St-Sulpice-Laurière,8.1
Béziers,Narbonne,8.1
Montpellier-St-Roch,Sète,8.1
Châteauroux,Issoudun,8.1
Noyelles,Étaples-Le Touquet,8.2
Rang-du-Fliers-Verton,Boulogne-Tintelleries,8.2
Rouen-Rive-Droite,Yvetot,8.2
Jonzac,St-Mariens-St-Yzan,8.3
Langogne,Villefort,8.3
Pouilly-sur-Loire,Nevers,8.3
Le Cateau,Maubeuge,8.3
Pau,Lourdes,8.3
St-Florent-sur-Cher,St-Amand-Montrond-Orval,8.3
Orthez,Pau,8.5
Libourne,Montpon-Ménestérol,8.5
Coutras,Mussidan,8.5
Abbeville,Rang-du-Fliers-Verton,8.5
Brassac-les-Mines-Ste-Florine,St-Georges-d'Aurac,8.5
Compiègne,Chauny,8.5
Elne,Cerbère,8.6
Riom-Châtel-Guyon,Vichy,8.7
Briare,Tracy-Sancerre,8.7
Vire,Folligny,8.7
St-Mariens-St-Yzan,Bordeaux-St-Jean,8.7
Moulins-sur-Allier,St-Germain-des-Fossés,8.7
Gien,Cosne,8.7
L'Aigle,Surdon,8.7
Bar-sur-Aube,Chaumont,8.7
Longueville,Romilly-sur-Seine,8.8
Pons,Montendre,8.8
Tracy-Sancerre,Fourchambault,8.8
Arvant,Langeac,8.8
Saintes,Jonzac,9.0
Roanne,Tarare,9.0
Brive-la-Gaillarde,Corrèze,9.0
Niversac,Terrasson-Lavilledieu,9.0
Coarraze-Nay,Tarbes,9.0
Surdon,Briouze,9.0
Mézidon,Argentan,9.1
Perpignan,Port-Vendres-Ville,9.1
Angers-St-Laud,Saumur-Rive-Droite,9.1
Rochefort,Saintes,9.1
Argentan,Alençon,9.1
Strasbourg-Ville,Saverne,9.3
Amiens,Abbeville,9.3
Chaumont,Culmont-Chalindrey,9.3
Bueil,Conches,9.3
Cosne,Pougues-les-Eaux,9.3
Argentan,Flers,9.3
Bayeux,Carentan,9.3
St-Just-en-Chaussée,Longueau,9.3
Montargis,Briare,9.5
Briouze,Vire,9.5
Terrasson-Lavilledieu,Tulle,9.5
Villefort,Alès,9.5
Noyon,St-Quentin,9.5
Pont-Ste-Maxence,Noyon,9.5
Mussidan,Niversac,9.6
Lison,Valognes,9.6
Vernon-Giverny,Oissel,9.6
Compiègne,Tergnier,9.6
Lunéville,Sarrebourg,9.6
Limoges-Bénédictins,St-Sulpice-Laurière,9.7
Perpignan,Banyuls-sur-Mer,9.7
Cannes,St-Raphaël-Valescure,9.7
Cannes,Nice-Ville,9.7
Châteauroux,Argenton-sur-Creuse,9.7
Busigny,Maubeuge,9.8
Périgueux,Condat-le-Lardin,9.8
Brassac-les-Mines-Ste-Florine,Langeac,9.8
Gaillon-Aubevoye,Rouen-Rive-Droite,9.8
Tracy-Sancerre,Nevers,9.8
Lisieux,Caen,9.8
Châteauneuf-sur-Cher,Vallon,9.9
Bernay,Pont-l'Évêque,9.9
Nemours-St-Pierre,Nogent-sur-Vernisson,9.9
Corrèze,Ussel,9.9
Alès,Nîmes,9.9
Le Mans,Château-du-Loir,9.9
Saincaize,Moulins-sur-Allier,9.9
Château-du-Loir,Tours,10.1
Arvant,Neussargues,10.1
Longueau,Abbeville,10.1
Tergnier,Busigny,10.1
Château-du-Loir,St-Pierre-des-Corps,10.1
St-Just-en-Chaussée,Amiens,10.1
Briare,Pouilly-sur-Loire,10.1
St-Amand-Montrond-Orval,Montluçon-Ville,10.1
Yvetot,Le Havre,10.1
Paris-Nord,Creil,10.3
Abbeville,Étaples-Le Touquet,10.3
Mantes-la-Jolie,Évreux-Embranchement,10.3
Carcassonne,Castelnaudary,10.3
Issoudun,Vierzon-Ville,10.3
Gien,Tracy-Sancerre,10.3
Langogne,Génolhac,10.4
Cosne,Fourchambault,10.4
Montpon-Ménestérol,Périgueux,10.4
Clermont-La Pardieu,Brassac-les-Mines-Ste-Florine,10.4
Évreux-Embranchement,Bernay,10.4
Condat-le-Lardin,Tulle,10.4
Oissel,Yvetot,10.4
Tulle,Meymac,10.6
Bordeaux-St-Jean,Coutras,10.6
St-Quentin,Cambrai,10.6
La Bastide-St-Laurent-les-Bains,Grand'Combe-La Pise,10.6
Mantes-la-Jolie,Val-de-Reuil,10.7
Blois,St-Pierre-des-Corps,10.7
Bréval,Conches,10.7
Tarare,Lyon-Perrache-Voyageurs,10.7
Tarare,Lyon-Part-Dieu,10.7
Tarbes,Montréjeau-Gourdan-Polignan,10.7
Périgueux,Terrasson-Lavilledieu,10.7
Salbris,Bourges,10.7
Caussade,Cahors,10.8
Brive-la-Gaillarde,Souillac,10.8
Riom-Châtel-Guyon,Vichy,10.8
St-Germain-des-Fossés,Moulins-sur-Allier,10.8
Rue,Boulogne-Tintelleries,10.9
Alençon,Le Mans,10.9
Flers,Villedieu-les-Poêles,10.9
Clermont-Ferrand,Brassac-les-Mines-Ste-Florine,10.9
Clermont-Ferrand,Vichy,10.9
Troyes,Bar-sur-Aube,10.9
L'Aigle,Argentan,11.1
Vire,Granville,11.1
Libourne,Mussidan,11.1
Nogent-sur-Seine,Troyes,11.1
Chauny,Busigny,11.2
Creil,Noyon,11.2
Jonzac,St-André-de-Cubzac,11.2
Blois,Tours,11.2
Marmande,Agen,11.2
Carentan,Cherbourg,11.2
Caen,Lison,11.2
Béziers,Sète,11.3
Gourdon,Cahors,11.3
Uzerche,Brive-la-Gaillarde,11.3
Antibes,St-Raphaël-Valescure,11.3
Nîmes,Arles,11.3
Perpignan,Cerbère,11.3
Avignon-Terminal TER,Nîmes,11.3
Montendre,Bordeaux-St-Jean,11.4
Lourdes,Lannemezan,11.4
Amiens,Noyelles,11.4
Clermont-La Pardieu,Arvant,11.4
Cosne,Nevers,11.4
Bourges,Saincaize,11.4
Orléans,Blois,11.5
Pons,St-Mariens-St-Yzan,11.5
Mézidon,Surdon,11.5
Issoire,St-Georges-d'Aurac,11.5
Les Aubrais-Orléans,Blois,11.5
Bourges,St-Amand-Montrond-Orval,11.5
Coutras,St-Astier,11.5
Les Aubrais-Orléans,Salbris,11.5
Pau,Tarbes,11.7
Dreux,L'Aigle,11.7
Nogent-sur-Vernisson,Cosne,11.7
Surdon,Flers,11.7
Tergnier,Caudry,11.7
Nevers,Moulins-sur-Allier,11.7
Gien,Pouilly-sur-Loire,11.7
Clermont-de-l'Oise,Longueau,11.7
Clermont-Ferrand,Arvant,11.9
Vernon-Giverny,Rouen-Rive-Droite,11.9
Brive-la-Gaillarde,Égletons,11.9
Bernay,Trouville-Deauville,11.9
Grand'Combe-La Pise,Nîmes,12.0
Vendeuvre-Jort,Chaumont,12.0
Thiviers,Limoges-Bénédictins,12.0
Vesoul,Belfort,12.0
Pont-Ste-Maxence,Chauny,12.0
Paris-Nord,Pont-Ste-Maxence,12.0
Rouen-Rive-Droite,Bréauté-Beuzeville,12.2
Châtelaillon,Saintes,12.2
Briare,La Charité,12.2
Longueau,Noyelles,12.2
St-Quentin,Aulnoye-Aymeries,12.2
Montpon-Ménestérol,Niversac,12.2
Niversac,Brive-la-Gaillarde,12.2
Terrasson-Lavilledieu,Corrèze,12.2
Bueil,Beaumont-le-Roger,12.2
Saumur-Rive-Droite,St-Pierre-des-Corps,12.3
Saumur-Rive-Droite,Tours,12.3
Vichy,Moulins-sur-Allier,12.4
Riom-Châtel-Guyon,St-Germain-des-Fossés,12.4
Argenton-sur-Creuse,La Souterraine,12.4
Nîmes,Montpellier-St-Roch,12.4
Clermont-de-l'Oise,Amiens,12.6
Bayonne,Orthez,12.6
St-Astier,Condat-le-Lardin,12.6
Versailles-Chantiers,Dreux,12.6
Saintes,Montendre,12.6
Noyelles,Boulogne-Ville,12.6
Verneuil-sur-Avre,Surdon,12.6
Paris-Nord,Clermont-de-l'Oise,12.8
Tulle,Ussel,12.8
La Bastide-St-Laurent-les-Bains,Alès,12.8
St-Florent-sur-Cher,Vallon,12.8
Issoire,Langeac,12.9
Tarbes,St-Gaudens,12.9
Luçon,La Rochelle-Ville,12.9
Chauny,Caudry,12.9
Val-de-Reuil,Yvetot,12.9
Montauban-Ville-Bourbon,Toulouse-Matabiau,12.9
Caen,Argentan,12.9
Langeac,Langogne,12.9
Rochefort,Pons,12.9
St-Germain-des-Fossés,Roanne,12.9
Mézidon,Sées,13.1
Nemours-St-Pierre,Gien,13.1
Arvant,St-Flour-Chaudes-Aigues,13.1
Amiens,Rue,13.1
Clermont-La Pardieu,Brioude,13.1
Mantes-la-Jolie,Oissel,13.2
Vierzon-Ville,Châteauneuf-sur-Cher,13.2
Condat-le-Lardin,Corrèze,13.2
Bueil,Serquigny,13.2
Bourges,Nevers,13.2
Pont-Ste-Maxence,Tergnier,13.2
Romilly-sur-Seine,Vendeuvre-Jort,13.4
Nogent-sur-Vernisson,Tracy-Sancerre,13.4
Flers,Folligny,13.4
Compiègne,St-Quentin,13.4
Castelnaudary,Toulouse-Matabiau,13.5
Clermont-Ferrand,Brioude,13.5
Agen,Marmande,13.5
