route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
OCE685639,3,OCESN038050R010012,"38050",0,,
OCE685642,3,OCESN038311R010018,"38311",1,,
OCE685642,183,OCESN447333R010011439,"447333",1,,
OCE685642,4,OCESN038312R0100110,"38312",0,,
OCE685642,3,OCESN038310R010019,"38310",0,,
OCE685642,7,OCESN038314R01001362,"38314",0,,
OCE685640,101,OCESN447197R01001879,"447197",1,,
OCE685640,7,OCESN038101R02002361,"38101",1,,
OCE685640,101,OCESN447215R01001878,"447215",1,,
OCE685640,101,OCESN447192R0200223646,"447192",0,,
OCE685640,4,OCESN038102R0100119,"38102",0,,
OCE685640,3,OCESN038100R0100113,"38100",0,,
OCE685640,166,OCESN447208R020021348,"447208",0,,
OCE685646,3,OCESN038425R01001929,"38425",1,,
OCE685646,3,OCESN038427R01001904,"38427",1,,
OCE685646,103,OCESN038437R01001918,"38437",1,,
OCE685646,3,OCESN038447R01001898,"38447",1,,
OCE685646,4,OCESN038459R01001919,"38459",1,,
OCE685646,4,OCESN038455R01001923,"38455",1,,
OCE685646,3,OCESN038407R0100131,"38407",1,,
OCE685646,3,OCESN038405R0100129,"38405",1,,
OCE685646,3,OCESN038441R01001914,"38441",1,,
OCE685646,3,OCESN038435R01001913,"38435",1,,
OCE685646,3,OCESN038439R01001922,"38439",1,,
OCE685646,3,OCESN038443R01001925,"38443",1,,
OCE685646,3,OCESN038431R01001895,"38431",1,,
OCE685646,19,OCESN038449R01001905,"38449",1,,
OCE685646,7,OCESN038465R01001917,"38465",1,,
OCE685646,7,OCESN038461R01001906,"38461",1,,
OCE685646,3,OCESN038445R01001915,"38445",1,,
OCE685646,7,OCESN038463R01001886,"38463",1,,
OCE685646,4,OCESN038451R01001924,"38451",1,,
OCE685646,3,OCESN038429R020021202,"38429",1,,
OCE685646,4,OCESN038453R01001897,"38453",1,,
OCE685646,4,OCESN038457R01001920,"38457",1,,
OCE685646,3,OCESN038433R01001903,"38433",1,,
OCE685646,3,OCESN038436R01001911,"38436",0,,
OCE685646,3,OCESN038430R01001894,"38430",0,,
OCE685646,3,OCESN038446R010011201,"38446",0,,
